rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
11911,1,欢聚,huān jù,,,动,欢快地相聚,亲朋欢聚｜欢聚一堂,Gather joyfully; to come together happily.
11912,1,警力,jǐng lì,,,名,警察的人力和装备,部署警力,Police force; the manpower and equipment of the police.
11913,1,收养,shōu yǎng,,,动,收留抚养；收容赡养,老汉收养了两个孤儿｜他收养了一位孤寡老人。,Adopt; to take in and raise; to provide for and support.
11914,1,厨师,chú shī,,,名,掌握或精通烹调技艺并以此为职业的人。俗称厨子,这位厨师手艺很好｜酒店聘请了新厨师,"Chef; a person skilled in cooking and employed in that profession, commonly called a cook."
11916,1,风范,fēng fàn,,,名,可以作为典范的风度、气派,一代风范,Exemplary style; a demeanor or manner that can serve as a model.
11917,1,共存,gòng cún,,,动,共同存在；共同生存,长期共存，荣辱与共｜共存共荣,Coexist; to exist or survive together.
11918,1,成天,chéng tiān,,,副,整天地；一天到晚地,成天闲不住｜成天人来人往,All day long; throughout the day; from morning till night.
11919,1,染色,rǎn sè,,,动,用染料使纤维或其他材料着色,她正在染色布料｜这种染料染色效果很好,Dye; to color fibers or other materials with dyes.
11920,1,兴隆,xīng lóng,,,形,兴旺发达,买卖兴隆,Prosperous; thriving and successful.
11922,1,充斥,chōng chì,,,动,充满或塞满（含贬义）,满屋子充斥着污浊的空气。,Flood; to fill or cram (with negative connotation).
11923,1,捕捞,bǔ lāo,,,动,捕捉打捞（水生动植物）,捕捞鱼虾｜此湖禁止捕捞,Fish; to catch and harvest (aquatic plants and animals).
11925,1,社会活动,shè huì huó dòng,,,,指在本职工作以外的其他集体活动。如党团活动、工会活动、学术活动等,他积极参加社会活动｜社会活动丰富了我的生活,"Social activities; collective activities outside one's primary job, such as party or league activities, union events, academic activities, etc."
11926,1,心安,xīn ān,,,形,心情坦然安稳,令人难以心安,peace of mind
11928,1,领事馆,lǐng shì guǎn,,,名,一国政府驻在他国城市或地区的领事代表机关的统称。有总领事馆、领事馆、副领事馆和领事代理处数种,我去领事馆办理签证｜领事馆位于市中心,consulate
11929,1,酒会,jiǔ huì,,,名,只用酒和点心招待客人的简便宴会，多用于外交场合,今晚有个外交酒会｜酒会上大家相谈甚欢,cocktail party
11930,1,言表,yán biǎo,,,名,言语和表情,感激之情，溢于言表。,words and expression
11930,2,言表,yán biǎo,,,动,用言语表达,心情难以言表,express in words
11931,1,获救,huò jiù,,,动,得到救助；被救,获救脱险,be rescued
11932,1,旋风,xuàn fēng,,,名,呈螺旋状运动的风,西北方卷起了一阵旋风｜旋风式访问,whirlwind
11933,1,路网,lù wǎng,,,名,纵横交错的道路所形成的网状格局,国道、省道的路网覆盖了全省。,road network
11934,1,容器,róng qì,,,名,装东西的器具,这是个玻璃容器｜容器里装满了水,container
11936,1,一干,yī gān,,,形,所有跟某件事（多指案件）有关联的（人）,一干人员,all those involved
11937,1,一并,yī bìng,,,副,表示两种或两种以上的事情合在一块儿,一并处罚｜工资与奖金一并发放,together
11939,1,北非,běi fēi,,,名,指非洲北部地区。包括埃及、苏丹、利比亚、阿尔及利亚、突尼斯、摩洛哥、西撒哈拉等国家和地区,埃及位于北非｜北非气候炎热干燥,North Africa
11940,1,废止,fèi zhǐ,,,动,废除；停止实行（多指法令、制度等）,旧法在新法颁布后自行废止。,abolish
11941,1,活生生,huó shēng shēng,,,形,有生命力的；现实存在的,活生生的人物形象。,living
11941,2,活生生,huó shēng shēng,,,副,【活活】表示在活的状态下（遭受某种不幸）,被活生生地残杀了。,alive
11942,1,发式,fà shì,,,名,发型,她的发式很时尚｜这个发式适合你,hairstyle
11943,1,摊子,tān zi,,,名,没有正式铺面，把货物在一处摆开的售货点,杂货摊子,street stall
11943,2,摊子,tān zi,,,名,比喻组织机构或工作局面,创业阶段，摊子不能铺得太大｜留下个烂摊子让谁来收拾?,setup
11944,1,闪耀,shǎn yào,,,动,发出耀眼的光彩,灯光闪耀,shine
11944,2,闪耀,shǎn yào,,,动,【闪烁】亮光忽明忽暗，晃动不定,星光闪耀,flicker
11945,1,松懈,sōng xiè,,,形,懈怠；懒散,纪律松懈｜工作松懈,slack
11945,2,松懈,sōng xiè,,,形,不密切,关系松懈,loose
11945,3,松懈,sōng xiè,,,动,使懈怠,不可松懈斗志,relax
11947,1,冷门,lěng mén,,,名,原指赌博时很少有人下注的一门；后多用来比喻不引人注目的或不时兴的事物（跟“热门”相区别）,报考冷门专业,unpopular choice
11948,1,出游,chū yóu,,,动,出外游玩；旅游,周末我们全家出游｜春天适合出游,travel
11949,1,鲜红,xiān hóng,,,形,形容颜色红而明丽,她穿着鲜红的裙子｜鲜红的旗帜迎风飘扬,bright red
11950,1,票房,piào fáng,,,名,指票房价值,这部电影票房很高｜票房突破十亿元,box office
11950,2,票房,piào fáng,,,名,售票处,请在票房购票｜票房前排着长队,ticket office
11950,3,票房,piào fáng,,,名,指票友的组织；也指票友聚会练唱的场所,他是票房的名角｜每周都去票房唱戏,amateur opera club
11952,1,主战,zhǔ zhàn,,,动,主张使用战争手段,主战派,advocate war
11952,2,主战,zhǔ zhàn,,,动,担负主要战斗任务,本次战役由空军主战｜主战部队,bear main combat
11953,1,失时,shī shí,,,动,失掉时机；错过季节,播种失时,miss the time
11954,1,混淆,hùn xiáo,,,动,混杂；使界限不分明,是非混淆,confuse
11956,1,骨髓,gǔ suǐ,,,名,骨内腔隙中柔软的胶状物，具有造血功能,骨髓具有造血功能｜需要进行骨髓移植,bone marrow
11957,1,点缀,diǎn zhuì,,,动,衬托、装饰，使更好看,白色的羊群把绿色的大草原点缀得更加生气勃勃。,embellish
11957,2,点缀,diǎn zhuì,,,动,装点门面；应景,动辄请名人到场点缀，实在无聊!,do for form's sake
11958,1,气魄,qì pò,,,名,魄力，无所畏惧的精神或作风,具有英雄气魄,boldness
11958,2,气魄,qì pò,,,名,事物所显示出来的气势,气魄宏伟,imposing manner
11959,1,接地,jiē dì,,,动,把电器的金属外壳经导线和埋在地下的金属物连接起来，以保证设备正常运转和人身安全,电器必须可靠接地｜请检查接地是否良好,ground
11960,1,中正,zhōng zhèng,,,形,公平而正直,为人中正,fair and upright
11961,1,升学,shēng xué,,,动,（学生）从低一级学校进入高一级学校学习,升学考试｜解决升学难的问题。,enter a higher school
11962,1,抽屉,chōu ti,,,名,桌子、柜子等家具中可以推拉的匣形部件，用来盛放东西,抽屉里放着文件｜他把钱包放进抽屉,drawer
11963,1,登门,dēng mén,,,动,到别人的住处,登门求教,visit someone's home
11965,1,大头,dà tóu,,,名,大的那一头；大部分,他拿大头，你拿小头。,big end
11965,2,大头,dà tóu,,,名,指冤大头,让人捉了大头,sucker
11965,3,大头,dà tóu,,,名,指铸有袁世凯头像的银元,他收藏了几枚大头｜这是枚袁世凯大头,silver dollar with Yuan Shikai's head
11965,4,大头,dà tóu,,,名,可以戴在头上的假面具,跳大头舞,head mask
11966,1,呼应,hū yìng,,,动,呼喊与答应，指互相联系,二人遥相呼应，配合默契。,respond
11966,2,呼应,hū yìng,,,动,前后关联，相互照应,剧情前后缺少呼应。,echo
11969,1,胃口,wèi kǒu,,,名,食欲,胃口很好，吃得香。,appetite
11969,2,胃口,wèi kǒu,,,名,比喻对事物的兴趣、欲望,他对学习没胃口｜这道菜很合我胃口,liking
11970,1,倡廉,chàng lián,,,动,提倡廉洁,反腐倡廉,promote integrity
11971,1,操心,cāo xīn,,,动,用心思虑；费心料理,操心儿子的婚事,worry
11972,1,主演,zhǔ yǎn,,,动,扮演主角,他主演过多部电影。,star in
11972,2,主演,zhǔ yǎn,,,名,【主角】戏剧、电影等中的主要角色；扮演主要角色的演员,他是这部电影的主演。,lead role
11975,1,价位,jià wèi,,,名,一种商品的价格在同类商品的价格中所处的位置,这里商品房价位太高。,price level
11976,1,胸脯,xiōng pú,,,名,胸部；胸膛,他挺起胸脯走路｜小鸟落在他的胸脯上,chest
11977,1,复仇,fù chóu,,,动,报仇,为死难烈士复仇,revenge
11978,1,罚金,fá jīn,,,名,被处罚金时缴纳的钱,他被判处五千元罚金｜逾期将收取罚金,fine
11978,2,罚金,fá jīn,,,动,指人民法院依据刑法判处犯罪分子或犯罪单位在一定期限内向国家缴纳一定数额的金钱。是我国刑法规定的附加刑之一，也可以独立使用,法院判处罚金一万元｜罚金必须限期缴纳,impose a fine
11979,1,痊愈,quán yù,,,动,（伤、病）完全治好,伤口已经痊愈｜偶患感冒，不日即可痊愈。,recover
11981,1,油菜,yóu cài,,,名,一年或二年生草本植物，茎直立，叶互生，花黄色，结角果。种子可以榨油，是我国主要的油料作物之一,田野里种着油菜｜油菜花开满山黄,rape
11981,2,油菜,yóu cài,,,名,二年生草本植物，叶浓绿，叶柄淡绿，是常见的蔬菜,今天买了些油菜｜清炒油菜很好吃,Chinese cabbage
11982,1,点评,diǎn píng,,,动,指点评论,请专家点评,comment on
11982,2,点评,diǎn píng,,,名,指点评论的文字或讲话,认真阅读正文后面的点评。,commentary
11983,1,量化,liàng huà,,,动,使变为可以用数量来计算,量化、细化服务的内容和标准。,quantify
11984,1,接踵,jiē zhǒng,,,动,后面人的脚尖接着前面人的脚后跟。形容人很多，一个接着一个,摩肩接踵｜接踵而来,follow on one's heels
11985,1,塑像,sù xiàng,,,名,用石膏、泥土等雕塑的人像或动物的形象,一尊鲁迅塑像,statue
11985,2,塑像,sù xiàng,,,动,用石膏、泥土等雕塑人像或动物形象,为烈士塑像,sculpt
11986,1,禁地,jìn dì,,,名,禁止一般人进入的地方,军事禁地,forbidden area
11987,1,参数,cān shù,,,名,在所讨论的数学或物理等问题中，起某种辅助作用的变量,需要调整这个参数｜参数设置很重要,parameter
11987,2,参数,cān shù,,,名,表明某种现象、设备或其工作过程中某一重要性质的量，如震级、功率、进尺等,注意设备运行参数｜功率是个重要参数,parameter
11988,1,肥料,féi liào,,,名,能给植物提供养分、促进发育的物质。分有机肥料、无机肥料、细菌肥料等,给庄稼施些肥料｜这种肥料效果很好,fertilizer
11989,1,上乘,shàng chéng,,,形,品位、质量高（跟“下乘”相对）,上乘之作｜价格合理，服务上乘。,superior
11989,2,上乘,shàng chéng,,,名,佛教用语，即大乘,他研究上乘佛教｜这是上乘的教义,Mahayana
11990,1,住户,zhù hù,,,名,定居在某处的个人或家庭,住户登记｜单身住户,household
11991,1,脱落,tuō luò,,,动,离开原来生长或附着的部位掉下,头发脱落｜墙皮脱落,fall off
11991,2,脱落,tuō luò,,,动,（文字）遗漏,句中脱落了两个字。,be missing
11992,1,祭司,jì sī,,,名,宗教中专职掌管祭祀活动的人,祭司主持祭祀仪式｜他是部落的大祭司,priest
11993,1,硝烟,xiāo yān,,,名,火药爆炸后产生的烟雾；借指战争,硝烟滚滚｜又起硝烟,smoke of gunpowder
11994,1,浸泡,jìn pào,,,动,【浸】泡（在液体里）,浸泡蚕豆｜浸泡药材,soak
11995,1,兰花,lán huā,,,名,多年生草本植物，叶子丛生、狭长，根肉质、条状。因种类不同，开花的季节各异，花有白、黄、绿、黑等多种颜色，气味清香，可供观赏。花可制作香料，根皮可以做药材。常见的有春兰、建兰、墨兰、蕙兰等。俗称兰草,她养了一盆兰花｜兰花散发着清香,orchid
11996,1,围攻,wéi gōng,,,动,包围起来攻击；群起而攻,敌军围攻城池｜他们围攻那个骗子,besiege
11997,1,班主,bān zhǔ,,,名,旧时戏班等演艺团体的领班人,他是越剧社的班主。,troupe leader
11998,1,打印,dǎ yìn,,,动,打字并印刷,打印文件,print
11998,2,打印,dǎ yìn,,,动,加盖印章,须有关部门打印才能生效。,stamp
11999,1,头晕,tóu yūn,,,动,头部感到眩晕,我有点头晕｜坐车太久会头晕,dizzy
12000,1,当权,dāng quán,,,动,掌权,他是当权者,hold power
12001,1,驻守,zhù shǒu,,,动,驻扎守卫,这里由三团驻守,garrison
12002,1,告辞,gào cí,,,动,辞别；打招呼后离开,起身告辞,take leave
12003,1,年月,nián yuè,,,名,时候；日子,这一走不知什么年月才能回来。,days
12003,2,年月,nián yuè,,,名,〈口〉时代,都什么年月了，还这身打扮。,era
12004,1,度日,dù rì,,,动,过日子；维持生活（多指在困境中）,爷爷年轻时靠拉板车度日｜艰难度日,eke out an existence
12005,1,神社,shén shè,,,名,古代祭祀社神的场所；也指祭奠先祖的庙堂,我们去神社参拜｜这是古老的神社,shrine
12006,1,后顾,hòu gù,,,动,借指顾及身后的人和事,家事安排妥了，就后顾无忧。,worry about one's family
12006,2,后顾,hòu gù,,,动,回头看；回忆过去的事,前瞻与后顾,look back
12008,1,离休,lí xiū,,,动,符合国家规定条件的老年干部离职休养，待遇优于退休,爷爷已经离休了｜他享受离休待遇,retire with honors
12009,1,胸膛,xiōng táng,,,名,【胸】人或某些动物躯干的一部分，在颈与腹之间,仇恨满胸膛,chest
12010,1,学识,xué shí,,,名,学术方面的修养和知识,学识渊博｜具有过人的学识,learning
12011,1,门窗,mén chuāng,,,名,门和窗的合称,门窗都需要维修｜新房门窗很漂亮,doors and windows
12012,1,受骗,shòu piàn,,,动,遭到欺骗,谨防受骗,be deceived
12013,1,耗费,hào fèi,,,动,花费掉；用掉,耗费了精力,consume
12013,2,耗费,hào fèi,,,名,耗费的钱或物,做这件事耗费太大。,consumption
12014,1,单单,dān dān,,,副,表示把事物或行为限定在极小的范围之内，相当于“只是”、“仅仅”,别的都没忘，单单忘了带工作证。,only
12016,1,出工,chū gōng,,,动,上班做工,他每天清晨6点出工。,go to work
12016,2,出工,chū gōng,,,动,出劳力,修路是咱全村的事，出钱或者出工，大家自己选。,provide labor
12017,1,疑难,yí nán,,,形,疑惑难解的,疑难案件,difficult to solve
12017,2,疑难,yí nán,,,名,疑惑难解的问题,实施此方案仍有一疑难待解｜破解疑难,difficult problem
12019,1,募捐,mù juān,,,动,广泛征集捐款捐物,为灾区募捐衣物｜学校组织募捐活动,solicit donations
12020,1,许久,xǔ jiǔ,,,名,很长的时间,交谈了许久,a long time
12022,1,选购,xuǎn gòu,,,动,选择购买,选购图书,select and purchase
12023,1,茶馆,chá guǎn,,,名,出售茶水，供顾客坐饮的店铺,我们在茶馆喝茶｜老街有家老茶馆,teahouse
12024,1,为力,wéi lì,,,动,出力；尽力,无能为力,exert effort
12026,1,复议,fù yì,,,动,对作出的决定重新进行审议,对他的任命，上级领导还要复议一次。,reconsider
12027,1,高峰期,gāo fēng qī,,,名,发生最频繁或发展最兴旺的时期,春天是流行病发病的高峰期。,peak period
12028,1,贵重,guì zhòng,,,形,价值高；珍贵,贵重药材｜贵重物品,valuable
12029,1,宽广,kuān guǎng,,,形,面积大；范围广,场地宽广｜知识领域宽广｜视野宽广,spacious
12031,1,喇嘛,lǎ ma,,,名,藏语音译，藏传佛教对高僧的尊称。汉族常把蒙、藏传佛教僧人统称为喇嘛,这位喇嘛很慈祥｜喇嘛在寺庙修行,lama
12032,1,修缮,xiū shàn,,,动,整修（建筑物）,修缮古建筑,renovate
12033,1,自认,zì rèn,,,动,自己承认并接受；对自己有某种看法,自认倒霉｜他自认能挑起这副担子。,admit to oneself
12035,1,诺贝尔奖,nuò bèi ěr jiǎng,,,,一种具有国际荣誉的奖项。以瑞典化学家、发明家诺贝尔（1833—1896）的大部分遗产作为基金，分设物理学、化学、生理学或医学、文学、和平事业五个奖项。1901年开始颁发，每年一次。1968年起增设经济学奖(诺贝尔：英语Nobel音译),他获得了诺贝尔奖｜诺贝尔奖是崇高荣誉,Nobel Prize
12036,1,神父,shén fu,,,名,天主教、东正教的男性神职人员。职位在主教之下，通常负责管理一个教堂，主持宗教活动,神父在主持弥撒｜他向神父忏悔,priest
12037,1,预备役,yù bèi yì,,,名,兵役的一种类型，即公民在军队外所服的兵役。是国家储备兵员的重要方式,他服的是预备役｜预备役需要定期训练,reserve duty
12039,1,增效,zēng xiào,,,动,增加效力；增加效益,减员增效,increase efficiency
12041,1,放眼,fàng yǎn,,,动,放开眼界（去看）,放眼望去一片绿｜我们要放眼未来,take a broad view
12042,1,驰名,chí míng,,,动,声名远扬,驰名商标,famous
12043,1,效能,xiào néng,,,名,事物所具有的功用,充分发挥设备的效能｜提高职能部门的效能。,efficacy
12044,1,吞吐量,tūn tǔ liàng,,,名,一定时期内经港口运进和运出货物的总数量，以吨为单位,上海港的全年吞吐量居全国港口之首。,throughput
12045,1,新教,xīn jiào,,,名,基督教的一派，与天主教、东正教并称为基督教的三大派别。是16世纪欧洲宗教改革运动中，因反对罗马教皇统治而分裂出来的基督教各教派的统称,他信仰新教｜新教是基督教派别,Protestantism
12046,1,吻合,wěn hé,,,动,两唇相合。比喻完全符合,想法和实际不太吻合。,coincide
12046,2,吻合,wěn hé,,,动,特指医学上把有腔器官的两个断面连接起来,动脉吻合手术,anastomose
12047,1,炮声,pào shēng,,,名,放炮或炮弹爆炸的声音,远处传来炮声｜炮声震耳欲聋,sound of artillery
12048,1,副作用,fù zuò yòng,,,名,主要作用之外附带产生的不良作用,这种药没有副作用。,side effect
12049,1,讲演,jiǎng yǎn,,,动,【演讲】向听众讲述某方面的知识或对某一问题的见解,他正在台上讲演｜教授应邀来讲演,give a lecture
12049,2,讲演,jiǎng yǎn,,,名,【演讲】指演讲的内容,他的讲演很精彩｜这个讲演很有深度,lecture
12050,1,录像带,lù xiàng dài,,,名,录制音像用的磁带；也指已录好音像并可以播放的磁带,这是盘老录像带｜录像带已经过时了,videotape
12052,1,炸毁,zhà huǐ,,,动,爆炸使毁坏,炸毁障碍物,blow up
12053,1,行商,xíng shāng,,,名,没有固定营业场所、流动贩卖货物的商人（跟“坐商”相区别）,他是个行商｜行商走南闯北,itinerant merchant
12053,2,行商,xíng shāng,,,动,经商；做买卖,下海行商,engage in trade
12054,1,追加,zhuī jiā,,,动,在原有数额的基础上再增加,追加赔偿｜追加工程拨款,add additionally
12055,1,迎合,yíng hé,,,动,故意使自己的言行适合别人的心意,不能迎合低级趣味｜迎合现代人的审美取向。,cater to
12056,1,弱势,ruò shì,,,名,弱小的势力,弱势群体｜处于弱势,disadvantaged group
12056,2,弱势,ruò shì,,,名,消减或变弱的势头,市场上这类商品呈现弱势。,weakening trend
12057,1,想通,xiǎng tōng,,,动,经过考虑，解决了思想问题,经过冷静思考，他终于想通了。,become convinced
12058,1,称道,chēng dào,,,动,赞许；夸奖,不足称道,praise
12059,1,难事,nán shì,,,名,不容易做的事；为难的事,你有什么难事，只管说。,difficult task
12060,1,挑剔,tiāo ti,,,动,在细节上过分地找毛病,对别人不要过于挑剔。,be picky
12061,1,在逃,zài táo,,,动,（犯人或犯罪嫌疑人）逃匿在外，还没有捕获归案,在逃犯｜主犯在逃,be at large
12062,1,互为,hù wéi,,,动,相互之间是或成为某种关系,互为补充｜两国互为重要的经贸伙伴。,be mutually
12063,1,交汇,jiāo huì,,,动,（水流、气流等）汇合到一起,潮白河、永定河、大清河、子牙河、卫河在天津交汇成海河｜冷暖空气交汇,converge
12064,1,遣返,qiǎn fǎn,,,动,遣送回原处,遣返难民,repatriate
12065,1,发电厂,fā diàn chǎng,,,名,利用水力、火力、太阳能或原子能等生产电力的工厂,这是火力发电厂｜发电厂供应电力,power plant
12066,1,寻觅,xún mì,,,动,寻找；寻求,寻觅知音,seek
12067,1,对头,duì tóu,,,形,正确；适当,政策对头，方法得当｜思路对头,correct
12067,2,对头,duì tóu,,,形,（思想或事情）正常（多用于否定）,他情绪不对头,normal
12067,3,对头,duì tóu,,,形,合得来；投合（多用于否定）,俩人关系不对头，不说话。,compatible
12067,4,对头,duì tou,,,名,指敌对的或对立的方面,死对头,opponent
12069,1,练兵,liàn bīng,,,动,训练军人；泛指训练其他人员,部队正在山地练兵｜先练兵，后上岗,train troops
12070,1,不治,bù zhì,,,动,救治无效（而死亡）,终因病情恶化不治身亡。,incurable
12072,1,心肠,xīn cháng,,,名,心地；用心；感情状态,好心肠｜蛇蝎心肠｜心肠太软,heart
12072,2,心肠,xīn cháng,,,名,兴致；心情,哪有心肠游山玩水。,mood
12072,3,心肠,xīn cháng,,,名,心事；思虑的事,互相倾吐心肠,worry
12073,1,席卷,xí juǎn,,,动,像卷席子一样把东西都卷进去,飓风席卷整个群岛｜席卷一空,sweep across
12074,1,自首,zì shǒu,,,动,（作案人）向有关部门自动投案，交代罪行,到公安机关自首,surrender oneself
12076,1,灵敏,líng mǐn,,,形,反应迅速,思维灵敏｜感觉灵敏,sensitive
12077,1,休养,xiū yǎng,,,动,休息调养,在家休养,recuperate
12077,2,休养,xiū yǎng,,,动,让社会和百姓的生活安定下来，使国民经济得到恢复和发展,休养国力,rehabilitate
12078,1,外侨,wài qiáo,,,名,外国侨民,保护外侨合法权益｜这里住着些外侨,foreign national
12079,1,商品市场,shāng pǐn shì chǎng,,,,商品通过货币进行交换的场所；泛指商品交易的大环境,商品市场很繁荣｜关注商品市场动态,commodity market
12080,1,香蕉,xiāng jiāo,,,名,多年生草本植物，茎直立，质软，叶子大。果实也叫香蕉，长形稍弯，有软皮，果肉香甜，是常见水果,香蕉是热带水果｜我爱吃香蕉,banana
12081,1,忘却,wàng què,,,动,忘掉,忘却了许多往事,forget
12082,1,战区,zhàn qū,,,名,交战的地区,这里是主要战区｜战区形势很紧张,war zone
12082,2,战区,zhàn qū,,,名,根据不同的战略任务划分的作战地区,他被派往南部战区｜战区司令在视察,theater of operations
12084,1,书市,shū shì,,,名,临时性集中出售书籍的场所,周末有书市活动｜书市上人很多,book fair
12085,1,岸线,àn xiàn,,,名,陆地与水域交接的边沿线,岸线风景很美｜保护海岸线生态,shoreline
12086,1,盟主,méng zhǔ,,,名,古代诸侯同盟的领袖；后也指某些同盟的首领,他是武林盟主｜推举他为盟主,leader of an alliance
12087,1,特制,tè zhì,,,动,特地制造,特制了一副假肢,specially made
12088,1,神学,shén xué,,,名,论证神明的存在和宗教教义、教规的唯心主义学说,他在研究神学｜神学是门深奥学问,theology
12088,2,神学,shén xué,,,名,泛指宗教学说,这是佛教神学｜不同宗教有不同神学,religious doctrine
12089,1,监理,jiān lǐ,,,名,担任监理工作的人,他是这个工程的监理。,supervisor
12089,2,监理,jiān lǐ,,,动,监督管理,工程监理,supervise
12091,1,鼓动,gǔ dòng,,,动,（用文章、言辞等）激励而使行动起来,他很有宣传鼓动才能。,agitate
12092,1,盈余,yíng yú,,,名,收支相抵后剩下的部分,每个月有不少盈余。,surplus
12092,2,盈余,yíng yú,,,动,收支相抵后剩下来,结账后盈余无几,have a surplus
12093,1,宴请,yàn qǐng,,,动,摆酒席款待,宴请亲朋,entertain with a banquet
12094,1,争辩,zhēng biàn,,,动,争论辩驳,激烈争辩,argue
12095,1,待业,dài yè,,,动,等待就业,为待业人员广开就业门路。,await employment
12096,1,书生,shū shēng,,,名,指读书人,书生习气,scholar
12098,1,精度,jīng dù,,,名,准确和精密的程度,这种仪表的精度已经达到国家标准。,precision
12099,1,一揽子,yī lǎn zi,,,形,有关的类别、内容、情况等都包括在内的,一揽子解决｜一揽子工程｜一揽子会议,package
12100,1,锁定,suǒ dìng,,,动,固定；确定；使不变动,锁定电视频道｜2号球员临门一脚锁定胜局。,lock
12101,1,潜伏,qián fú,,,动,隐藏；埋伏,这些特工人员在城市里潜伏下来｜潜伏着危机,lurk
12102,1,哪能,nǎ néng,,,副,怎么能够。用于反问，表示否定,没有好政策，我哪能上得起大学?,how can
12103,1,疏忽,shū hu,,,动,因粗心大意而没有注意到,一时疏忽，造成大错｜这个细节我疏忽了。,neglect
12104,1,前瞻,qián zhān,,,动,展望；预见,这份计划具有前瞻性。,foresee
12104,2,前瞻,qián zhān,,,动,往前方看,前瞻后顾,look ahead
12105,1,不配,bù pèi,,,动,不够资格,这种人不配当干部。,unworthy
12105,2,不配,bù pèi,,,形,不相称；配合起来不合适,这两种色（shǎi）不配。,mismatched
12106,1,头疼,tóu téng,,,动,头部疼痛,我头疼得厉害｜可能是感冒头疼,have a headache
12106,2,头疼,tóu téng,,,形,形容感到为难或讨厌,这件事真叫人头疼。,troublesome
12107,1,典雅,diǎn yǎ,,,形,优美高雅；不俗气,格调典雅,Elegant
12109,1,如上,rú shàng,,,动,如同上面（所叙述或列举的）,详情如上｜条陈如上,As above
12111,1,本子,běn zi,,,名,用许多纸装订成的册子,人手一个本子,Notebook
12111,2,本子,běn zi,,,名,〈口〉指某些像小册子的证件,没有本子（驾驶证），不准开车。,Booklet (referring to small certificate-like booklets)
12111,3,本子,běn zi,,,名,指某一版本,这是流传最广的本子。,Edition
12112,1,旅店,lǚ diàn,,,名,供旅客住宿的营业单位,我们找了家旅店｜旅店条件还不错,Inn
12113,1,返还,fǎn huán,,,动,使物归原主；退还,原物返还｜返还押金,Return
12114,1,对消,duì xiāo,,,动,互相抵消,功是功，过是过，不能对消。,Offset
12115,1,后事,hòu shì,,,名,死后的丧葬等事情,他来不及交代后事就去世了｜后事从简,Funeral affairs
12115,2,后事,hòu shì,,,名,后来发生的事情,要知后事如何，请看下集。,Subsequent events
12116,1,猛进,měng jìn,,,动,快速前进,突飞猛进,Advance rapidly
12116,2,猛进,měng jìn,,,动,勇猛前进,高歌猛进,Advance bravely
12117,1,客房,kè fáng,,,名,供客人住宿的房间（包括营业性的和非营业性的）,客房很干净整洁｜请到客房休息,Guest room
12118,1,整地,zhěng dì,,,动,对土地进行平整和耕、翻、耙、耖等播种前的准备工作,春节一过，便开始整地了。,Land preparation
12120,1,修道,xiū dào,,,动,虔诚地学习宗教教义并照着去做,他在山中修道｜修道需要虔诚,Cultivate religious doctrines
12121,1,咽喉,yān hóu,,,名,咽和喉,咽喉有些发炎｜保护好咽喉,Pharynx and larynx
12121,2,咽喉,yān hóu,,,名,比喻地位重要或形势险要的通道,天津是从海上进入北京的咽喉｜扼守咽喉之地,Strategic passage
12122,1,助威,zhù wēi,,,动,从旁制造气氛和声势以鼓舞斗志,为运动员助威,Cheer for
12123,1,恨不得,hèn bu de,,,动,强烈而急切地希望（做成某事或出现某种情况）,我恨不得马上回家｜他恨不得飞过去,Eagerly wish
12124,1,今人,jīn rén,,,名,现在的人,追思先辈，激励今人｜不要把今人的观念强加给古人。,Modern people
12126,1,村落,cūn luò,,,名,村庄,这是个古老村落｜村落依山而建,Village
12127,1,长假,cháng jià,,,名,连续多日的假期,春节放长假｜请长假,Long vacation
12129,1,主席台,zhǔ xí tái,,,名,召开大型会议时，供主持会议者及重要人物就座的台子,领导坐在主席台｜主席台布置得很庄重,Rostrum
12130,1,气流,qì liú,,,名,流动的空气,暖湿气流,Airflow
12130,2,气流,qì liú,,,名,特指由肺的膨胀或收缩形成的进出于呼吸通道的气，是发音的动力,注意控制气流｜气流影响发音,Breath stream
12131,1,古墓,gǔ mù,,,名,古老的坟墓,发现了一座古墓｜古墓中有珍贵文物,Ancient tomb
12132,1,执意,zhí yì,,,副,拿定主意，不再改变,执意要走,Insistently
12133,1,底层,dǐ céng,,,名,社会最低的阶层,在旧中国，劳动妇女生活在底层。,Bottom social stratum
12133,2,底层,dǐ céng,,,名,建筑物地面上最下边的一层,我住在这栋楼底层｜底层有些潮湿,Ground floor
12134,1,应酬,yìng chou,,,动,人际来往；以礼相待,善于应酬｜客人来了，我去应酬一下。,Socialize
12134,2,应酬,yìng chou,,,名,泛指交际活动,减少应酬,Social engagement
12135,1,还价,huán jià,,,动,买方提出比卖方要价低的价钱,讨价还价,Bargain
12136,1,装甲车,zhuāng jiǎ chē,,,名,装有防弹钢板的战车,装甲车在巡逻｜这是辆新型装甲车,Armored vehicle
12138,1,观摩,guān mó,,,动,同行（háng）的人互相参观学习，交流经验,观摩教学｜欢迎前来观摩,Observe and learn
12139,1,指甲,zhǐ jia,,,名,指尖上半透明的角质物，对指尖起保护作用,她的指甲很漂亮｜记得修剪指甲,Fingernail
12140,1,年限,nián xiàn,,,名,规定的年数,服役年限,Fixed number of years
